"","Var1","Freq","number_sharks","day","month","year","monthyear"
"1",2014-01-05,"14","2","05","01","2014","2014-01"
"2",2014-01-06,"0","0","06","01","2014","2014-01"
"3",2014-01-07,"0","0","07","01","2014","2014-01"
"4",2014-01-08,"0","0","08","01","2014","2014-01"
"5",2014-01-09,"0","0","09","01","2014","2014-01"
"6",2014-01-10,"0","0","10","01","2014","2014-01"
"7",2014-01-11,"0","0","11","01","2014","2014-01"
"8",2014-01-12,"0","0","12","01","2014","2014-01"
"9",2014-01-13,"0","0","13","01","2014","2014-01"
"10",2014-01-14,"0","0","14","01","2014","2014-01"
"11",2014-01-15,"0","0","15","01","2014","2014-01"
"12",2014-01-16,"0","0","16","01","2014","2014-01"
"13",2014-01-17,"9","5","17","01","2014","2014-01"
"14",2014-01-18,"0","0","18","01","2014","2014-01"
"15",2014-01-19,"0","0","19","01","2014","2014-01"
"16",2014-01-20,"0","0","20","01","2014","2014-01"
"17",2014-01-21,"0","0","21","01","2014","2014-01"
"18",2014-01-22,"0","0","22","01","2014","2014-01"
"19",2014-01-23,"0","0","23","01","2014","2014-01"
"20",2014-01-24,"0","0","24","01","2014","2014-01"
"21",2014-01-25,"21","2","25","01","2014","2014-01"
"22",2014-01-26,"6","1","26","01","2014","2014-01"
"23",2014-01-27,"0","0","27","01","2014","2014-01"
"24",2014-01-28,"0","0","28","01","2014","2014-01"
"25",2014-01-29,"0","0","29","01","2014","2014-01"
"26",2014-01-30,"0","0","30","01","2014","2014-01"
"27",2014-01-31,"0","0","31","01","2014","2014-01"
"28",2014-02-01,"0","0","01","02","2014","2014-02"
"29",2014-02-02,"0","0","02","02","2014","2014-02"
"30",2014-02-03,"0","0","03","02","2014","2014-02"
"31",2014-02-04,"9","3","04","02","2014","2014-02"
"32",2014-02-05,"0","0","05","02","2014","2014-02"
"33",2014-02-06,"0","0","06","02","2014","2014-02"
"34",2014-02-07,"0","0","07","02","2014","2014-02"
"35",2014-02-08,"0","0","08","02","2014","2014-02"
"36",2014-02-09,"0","0","09","02","2014","2014-02"
"37",2014-02-10,"0","0","10","02","2014","2014-02"
"38",2014-02-11,"1","1","11","02","2014","2014-02"
"39",2014-02-12,"0","0","12","02","2014","2014-02"
"40",2014-02-13,"0","0","13","02","2014","2014-02"
"41",2014-02-14,"0","0","14","02","2014","2014-02"
"42",2014-02-15,"0","0","15","02","2014","2014-02"
"43",2014-02-16,"0","0","16","02","2014","2014-02"
"44",2014-02-17,"0","0","17","02","2014","2014-02"
"45",2014-02-18,"0","0","18","02","2014","2014-02"
"46",2014-02-19,"0","0","19","02","2014","2014-02"
"47",2014-02-20,"0","0","20","02","2014","2014-02"
"48",2014-02-21,"2","2","21","02","2014","2014-02"
"49",2014-02-22,"0","0","22","02","2014","2014-02"
"50",2014-02-23,"0","0","23","02","2014","2014-02"
"51",2014-02-24,"0","0","24","02","2014","2014-02"
"52",2014-02-25,"0","0","25","02","2014","2014-02"
"53",2014-02-26,"0","0","26","02","2014","2014-02"
"54",2014-02-27,"0","0","27","02","2014","2014-02"
"55",2014-02-28,"0","0","28","02","2014","2014-02"
"56",2014-03-01,"2","2","01","03","2014","2014-03"
"57",2014-03-02,"17","5","02","03","2014","2014-03"
"58",2014-03-03,"7","4","03","03","2014","2014-03"
"59",2014-03-04,"0","0","04","03","2014","2014-03"
"60",2014-03-05,"0","0","05","03","2014","2014-03"
"61",2014-03-06,"0","0","06","03","2014","2014-03"
"62",2014-03-07,"0","0","07","03","2014","2014-03"
"63",2014-03-08,"0","0","08","03","2014","2014-03"
"64",2014-03-09,"0","0","09","03","2014","2014-03"
"65",2014-03-10,"0","0","10","03","2014","2014-03"
"66",2014-03-11,"3","1","11","03","2014","2014-03"
"67",2014-03-12,"0","0","12","03","2014","2014-03"
"68",2014-03-13,"0","0","13","03","2014","2014-03"
"69",2014-03-14,"0","0","14","03","2014","2014-03"
"70",2014-03-15,"0","0","15","03","2014","2014-03"
"71",2014-03-16,"0","0","16","03","2014","2014-03"
"72",2014-03-17,"0","0","17","03","2014","2014-03"
"73",2014-03-18,"0","0","18","03","2014","2014-03"
"74",2014-03-19,"0","0","19","03","2014","2014-03"
"75",2014-03-20,"0","0","20","03","2014","2014-03"
"76",2014-03-21,"0","0","21","03","2014","2014-03"
"77",2014-03-22,"0","0","22","03","2014","2014-03"
"78",2014-03-23,"0","0","23","03","2014","2014-03"
"79",2014-03-24,"0","0","24","03","2014","2014-03"
"80",2014-03-25,"0","0","25","03","2014","2014-03"
"81",2014-03-26,"5","4","26","03","2014","2014-03"
"82",2014-03-27,"21","4","27","03","2014","2014-03"
"83",2014-03-28,"14","4","28","03","2014","2014-03"
"84",2014-03-29,"8","4","29","03","2014","2014-03"
"85",2014-03-30,"0","0","30","03","2014","2014-03"
"86",2014-03-31,"3","3","31","03","2014","2014-03"
"87",2014-04-01,"14","5","01","04","2014","2014-04"
"88",2014-04-02,"19","6","02","04","2014","2014-04"
"89",2014-04-03,"7","3","03","04","2014","2014-04"
"90",2014-04-04,"3","2","04","04","2014","2014-04"
"91",2014-04-05,"2","2","05","04","2014","2014-04"
"92",2014-04-06,"2","1","06","04","2014","2014-04"
"93",2014-04-07,"0","0","07","04","2014","2014-04"
"94",2014-04-08,"0","0","08","04","2014","2014-04"
"95",2014-04-09,"0","0","09","04","2014","2014-04"
"96",2014-04-10,"0","0","10","04","2014","2014-04"
"97",2014-04-11,"0","0","11","04","2014","2014-04"
"98",2014-04-12,"0","0","12","04","2014","2014-04"
"99",2014-04-13,"0","0","13","04","2014","2014-04"
"100",2014-04-14,"0","0","14","04","2014","2014-04"
"101",2014-04-15,"0","0","15","04","2014","2014-04"
"102",2014-04-16,"0","0","16","04","2014","2014-04"
"103",2014-04-17,"0","0","17","04","2014","2014-04"
"104",2014-04-18,"5","3","18","04","2014","2014-04"
"105",2014-04-19,"0","0","19","04","2014","2014-04"
"106",2014-04-20,"0","0","20","04","2014","2014-04"
"107",2014-04-21,"0","0","21","04","2014","2014-04"
"108",2014-04-22,"0","0","22","04","2014","2014-04"
"109",2014-04-23,"0","0","23","04","2014","2014-04"
"110",2014-04-24,"9","3","24","04","2014","2014-04"
"111",2014-04-25,"7","5","25","04","2014","2014-04"
"112",2014-04-26,"0","0","26","04","2014","2014-04"
"113",2014-04-27,"0","0","27","04","2014","2014-04"
"114",2014-04-28,"0","0","28","04","2014","2014-04"
"115",2014-04-29,"0","0","29","04","2014","2014-04"
"116",2014-04-30,"0","0","30","04","2014","2014-04"
"117",2014-05-01,"0","0","01","05","2014","2014-05"
"118",2014-05-02,"0","0","02","05","2014","2014-05"
"119",2014-05-03,"7","2","03","05","2014","2014-05"
"120",2014-05-04,"5","4","04","05","2014","2014-05"
"121",2014-05-05,"0","0","05","05","2014","2014-05"
"122",2014-05-06,"0","0","06","05","2014","2014-05"
"123",2014-05-07,"0","0","07","05","2014","2014-05"
"124",2014-05-08,"0","0","08","05","2014","2014-05"
"125",2014-05-09,"6","3","09","05","2014","2014-05"
"126",2014-05-10,"5","3","10","05","2014","2014-05"
"127",2014-05-11,"0","0","11","05","2014","2014-05"
"128",2014-05-12,"0","0","12","05","2014","2014-05"
"129",2014-05-13,"0","0","13","05","2014","2014-05"
"130",2014-05-14,"0","0","14","05","2014","2014-05"
"131",2014-05-15,"0","0","15","05","2014","2014-05"
"132",2014-05-16,"3","3","16","05","2014","2014-05"
"133",2014-05-17,"8","7","17","05","2014","2014-05"
"134",2014-05-18,"13","4","18","05","2014","2014-05"
"135",2014-05-19,"4","4","19","05","2014","2014-05"
"136",2014-05-20,"0","0","20","05","2014","2014-05"
"137",2014-05-21,"0","0","21","05","2014","2014-05"
"138",2014-05-22,"0","0","22","05","2014","2014-05"
"139",2014-05-23,"0","0","23","05","2014","2014-05"
"140",2014-05-24,"3","3","24","05","2014","2014-05"
"141",2014-05-25,"0","0","25","05","2014","2014-05"
"142",2014-05-26,"0","0","26","05","2014","2014-05"
"143",2014-05-27,"0","0","27","05","2014","2014-05"
"144",2014-05-28,"0","0","28","05","2014","2014-05"
"145",2014-05-29,"0","0","29","05","2014","2014-05"
"146",2014-05-30,"0","0","30","05","2014","2014-05"
"147",2014-05-31,"11","6","31","05","2014","2014-05"
"148",2014-06-01,"6","4","01","06","2014","2014-06"
"149",2014-06-02,"2","1","02","06","2014","2014-06"
"150",2014-06-03,"0","0","03","06","2014","2014-06"
"151",2014-06-04,"1","1","04","06","2014","2014-06"
"152",2014-06-05,"2","2","05","06","2014","2014-06"
"153",2014-06-06,"9","3","06","06","2014","2014-06"
"154",2014-06-07,"0","0","07","06","2014","2014-06"
"155",2014-06-08,"0","0","08","06","2014","2014-06"
"156",2014-06-09,"0","0","09","06","2014","2014-06"
"157",2014-06-10,"5","3","10","06","2014","2014-06"
"158",2014-06-11,"7","4","11","06","2014","2014-06"
"159",2014-06-12,"0","0","12","06","2014","2014-06"
"160",2014-06-13,"0","0","13","06","2014","2014-06"
"161",2014-06-14,"0","0","14","06","2014","2014-06"
"162",2014-06-15,"0","0","15","06","2014","2014-06"
"163",2014-06-16,"0","0","16","06","2014","2014-06"
"164",2014-06-17,"0","0","17","06","2014","2014-06"
"165",2014-06-18,"0","0","18","06","2014","2014-06"
"166",2014-06-19,"0","0","19","06","2014","2014-06"
"167",2014-06-20,"0","0","20","06","2014","2014-06"
"168",2014-06-21,"0","0","21","06","2014","2014-06"
"169",2014-06-22,"0","0","22","06","2014","2014-06"
"170",2014-06-23,"3","1","23","06","2014","2014-06"
"171",2014-06-24,"0","0","24","06","2014","2014-06"
"172",2014-06-25,"0","0","25","06","2014","2014-06"
"173",2014-06-26,"0","0","26","06","2014","2014-06"
"174",2014-06-27,"0","0","27","06","2014","2014-06"
"175",2014-06-28,"0","0","28","06","2014","2014-06"
"176",2014-06-29,"0","0","29","06","2014","2014-06"
"177",2014-06-30,"0","0","30","06","2014","2014-06"
"178",2014-07-01,"0","0","01","07","2014","2014-07"
"179",2014-07-02,"0","0","02","07","2014","2014-07"
"180",2014-07-03,"0","0","03","07","2014","2014-07"
"181",2014-07-04,"1","1","04","07","2014","2014-07"
"182",2014-07-05,"7","4","05","07","2014","2014-07"
"183",2014-07-06,"2","2","06","07","2014","2014-07"
"184",2014-07-07,"3","3","07","07","2014","2014-07"
"185",2014-07-08,"0","0","08","07","2014","2014-07"
"186",2014-07-09,"0","0","09","07","2014","2014-07"
"187",2014-07-10,"0","0","10","07","2014","2014-07"
"188",2014-07-11,"0","0","11","07","2014","2014-07"
"189",2014-07-12,"0","0","12","07","2014","2014-07"
"190",2014-07-13,"0","0","13","07","2014","2014-07"
"191",2014-07-14,"0","0","14","07","2014","2014-07"
"192",2014-07-15,"0","0","15","07","2014","2014-07"
"193",2014-07-16,"0","0","16","07","2014","2014-07"
"194",2014-07-17,"0","0","17","07","2014","2014-07"
"195",2014-07-18,"7","4","18","07","2014","2014-07"
"196",2014-07-19,"7","6","19","07","2014","2014-07"
"197",2014-07-20,"3","1","20","07","2014","2014-07"
"198",2014-07-21,"0","0","21","07","2014","2014-07"
"199",2014-07-22,"0","0","22","07","2014","2014-07"
"200",2014-07-23,"0","0","23","07","2014","2014-07"
"201",2014-07-24,"0","0","24","07","2014","2014-07"
"202",2014-07-25,"0","0","25","07","2014","2014-07"
"203",2014-07-26,"0","0","26","07","2014","2014-07"
"204",2014-07-27,"0","0","27","07","2014","2014-07"
"205",2014-07-28,"0","0","28","07","2014","2014-07"
"206",2014-07-29,"0","0","29","07","2014","2014-07"
"207",2014-07-30,"0","0","30","07","2014","2014-07"
"208",2014-07-31,"0","0","31","07","2014","2014-07"
"209",2014-08-01,"0","0","01","08","2014","2014-08"
"210",2014-08-02,"6","3","02","08","2014","2014-08"
"211",2014-08-03,"4","2","03","08","2014","2014-08"
"212",2014-08-04,"1","1","04","08","2014","2014-08"
"213",2014-08-05,"0","0","05","08","2014","2014-08"
"214",2014-08-06,"0","0","06","08","2014","2014-08"
"215",2014-08-07,"0","0","07","08","2014","2014-08"
"216",2014-08-08,"0","0","08","08","2014","2014-08"
"217",2014-08-09,"0","0","09","08","2014","2014-08"
"218",2014-08-10,"0","0","10","08","2014","2014-08"
"219",2014-08-11,"0","0","11","08","2014","2014-08"
"220",2014-08-12,"0","0","12","08","2014","2014-08"
"221",2014-08-13,"0","0","13","08","2014","2014-08"
"222",2014-08-14,"5","3","14","08","2014","2014-08"
"223",2014-08-15,"7","3","15","08","2014","2014-08"
"224",2014-08-16,"7","5","16","08","2014","2014-08"
"225",2014-08-17,"1","1","17","08","2014","2014-08"
"226",2014-08-18,"0","0","18","08","2014","2014-08"
"227",2014-08-19,"0","0","19","08","2014","2014-08"
"228",2014-08-20,"0","0","20","08","2014","2014-08"
"229",2014-08-21,"0","0","21","08","2014","2014-08"
"230",2014-08-22,"0","0","22","08","2014","2014-08"
"231",2014-08-23,"0","0","23","08","2014","2014-08"
"232",2014-08-24,"2","2","24","08","2014","2014-08"
"233",2014-08-25,"0","0","25","08","2014","2014-08"
"234",2014-08-26,"0","0","26","08","2014","2014-08"
"235",2014-08-27,"0","0","27","08","2014","2014-08"
"236",2014-08-28,"0","0","28","08","2014","2014-08"
"237",2014-08-29,"0","0","29","08","2014","2014-08"
"238",2014-08-30,"0","0","30","08","2014","2014-08"
"239",2014-08-31,"0","0","31","08","2014","2014-08"
"240",2014-09-01,"0","0","01","09","2014","2014-09"
"241",2014-09-02,"12","6","02","09","2014","2014-09"
"242",2014-09-03,"2","2","03","09","2014","2014-09"
"243",2014-09-04,"1","1","04","09","2014","2014-09"
"244",2014-09-05,"0","0","05","09","2014","2014-09"
"245",2014-09-06,"0","0","06","09","2014","2014-09"
"246",2014-09-07,"2","1","07","09","2014","2014-09"
"247",2014-09-08,"5","4","08","09","2014","2014-09"
"248",2014-09-09,"0","0","09","09","2014","2014-09"
"249",2014-09-10,"0","0","10","09","2014","2014-09"
"250",2014-09-11,"0","0","11","09","2014","2014-09"
"251",2014-09-12,"3","2","12","09","2014","2014-09"
"252",2014-09-13,"2","1","13","09","2014","2014-09"
"253",2014-09-14,"9","5","14","09","2014","2014-09"
"254",2014-09-15,"7","4","15","09","2014","2014-09"
"255",2014-09-16,"0","0","16","09","2014","2014-09"
"256",2014-09-17,"0","0","17","09","2014","2014-09"
"257",2014-09-18,"0","0","18","09","2014","2014-09"
"258",2014-09-19,"0","0","19","09","2014","2014-09"
"259",2014-09-20,"4","4","20","09","2014","2014-09"
"260",2014-09-21,"0","0","21","09","2014","2014-09"
"261",2014-09-22,"0","0","22","09","2014","2014-09"
"262",2014-09-23,"0","0","23","09","2014","2014-09"
"263",2014-09-24,"0","0","24","09","2014","2014-09"
"264",2014-09-25,"0","0","25","09","2014","2014-09"
"265",2014-09-26,"0","0","26","09","2014","2014-09"
"266",2014-09-27,"0","0","27","09","2014","2014-09"
"267",2014-09-28,"5","4","28","09","2014","2014-09"
"268",2014-09-29,"0","0","29","09","2014","2014-09"
"269",2014-09-30,"0","0","30","09","2014","2014-09"
"270",2014-10-01,"4","3","01","10","2014","2014-10"
"271",2014-10-02,"0","0","02","10","2014","2014-10"
"272",2014-10-03,"0","0","03","10","2014","2014-10"
"273",2014-10-04,"0","0","04","10","2014","2014-10"
"274",2014-10-05,"0","0","05","10","2014","2014-10"
"275",2014-10-06,"0","0","06","10","2014","2014-10"
"276",2014-10-07,"0","0","07","10","2014","2014-10"
"277",2014-10-08,"0","0","08","10","2014","2014-10"
"278",2014-10-09,"0","0","09","10","2014","2014-10"
"279",2014-10-10,"0","0","10","10","2014","2014-10"
"280",2014-10-11,"0","0","11","10","2014","2014-10"
"281",2014-10-12,"0","0","12","10","2014","2014-10"
"282",2014-10-13,"0","0","13","10","2014","2014-10"
"283",2014-10-14,"0","0","14","10","2014","2014-10"
"284",2014-10-15,"0","0","15","10","2014","2014-10"
"285",2014-10-16,"0","0","16","10","2014","2014-10"
"286",2014-10-17,"8","4","17","10","2014","2014-10"
"287",2014-10-18,"11","6","18","10","2014","2014-10"
"288",2014-10-19,"3","3","19","10","2014","2014-10"
"289",2014-10-20,"0","0","20","10","2014","2014-10"
"290",2014-10-21,"0","0","21","10","2014","2014-10"
"291",2014-10-22,"0","0","22","10","2014","2014-10"
"292",2014-10-23,"0","0","23","10","2014","2014-10"
"293",2014-10-24,"0","0","24","10","2014","2014-10"
"294",2014-10-25,"0","0","25","10","2014","2014-10"
"295",2014-10-26,"9","3","26","10","2014","2014-10"
"296",2014-10-27,"0","0","27","10","2014","2014-10"
"297",2014-10-28,"0","0","28","10","2014","2014-10"
"298",2014-10-29,"0","0","29","10","2014","2014-10"
"299",2014-10-30,"0","0","30","10","2014","2014-10"
"300",2014-10-31,"0","0","31","10","2014","2014-10"
"301",2014-11-01,"0","0","01","11","2014","2014-11"
"302",2014-11-02,"0","0","02","11","2014","2014-11"
"303",2014-11-03,"0","0","03","11","2014","2014-11"
"304",2014-11-04,"0","0","04","11","2014","2014-11"
"305",2014-11-05,"0","0","05","11","2014","2014-11"
"306",2014-11-06,"0","0","06","11","2014","2014-11"
"307",2014-11-07,"0","0","07","11","2014","2014-11"
"308",2014-11-08,"0","0","08","11","2014","2014-11"
"309",2014-11-09,"14","3","09","11","2014","2014-11"
"310",2014-11-10,"0","0","10","11","2014","2014-11"
"311",2014-11-11,"0","0","11","11","2014","2014-11"
"312",2014-11-12,"0","0","12","11","2014","2014-11"
"313",2014-11-13,"0","0","13","11","2014","2014-11"
"314",2014-11-14,"2","2","14","11","2014","2014-11"
"315",2014-11-15,"0","0","15","11","2014","2014-11"
"316",2014-11-16,"2","2","16","11","2014","2014-11"
"317",2014-11-17,"0","0","17","11","2014","2014-11"
"318",2014-11-18,"0","0","18","11","2014","2014-11"
"319",2014-11-19,"0","0","19","11","2014","2014-11"
"320",2014-11-20,"0","0","20","11","2014","2014-11"
"321",2014-11-21,"0","0","21","11","2014","2014-11"
"322",2014-11-22,"0","0","22","11","2014","2014-11"
"323",2014-11-23,"0","0","23","11","2014","2014-11"
"324",2014-11-24,"17","6","24","11","2014","2014-11"
"325",2014-11-25,"24","8","25","11","2014","2014-11"
"326",2014-11-26,"8","3","26","11","2014","2014-11"
"327",2014-11-27,"0","0","27","11","2014","2014-11"
"328",2014-11-28,"0","0","28","11","2014","2014-11"
"329",2014-11-29,"0","0","29","11","2014","2014-11"
"330",2014-11-30,"0","0","30","11","2014","2014-11"
"331",2014-12-01,"0","0","01","12","2014","2014-12"
"332",2014-12-02,"0","0","02","12","2014","2014-12"
"333",2014-12-03,"0","0","03","12","2014","2014-12"
"334",2014-12-04,"0","0","04","12","2014","2014-12"
"335",2014-12-05,"0","0","05","12","2014","2014-12"
"336",2014-12-06,"0","0","06","12","2014","2014-12"
"337",2014-12-07,"0","0","07","12","2014","2014-12"
"338",2014-12-08,"0","0","08","12","2014","2014-12"
"339",2014-12-09,"0","0","09","12","2014","2014-12"
"340",2014-12-10,"0","0","10","12","2014","2014-12"
"341",2014-12-11,"0","0","11","12","2014","2014-12"
"342",2014-12-12,"0","0","12","12","2014","2014-12"
"343",2014-12-13,"0","0","13","12","2014","2014-12"
"344",2014-12-14,"0","0","14","12","2014","2014-12"
"345",2014-12-15,"0","0","15","12","2014","2014-12"
"346",2014-12-16,"0","0","16","12","2014","2014-12"
"347",2014-12-17,"0","0","17","12","2014","2014-12"
"348",2014-12-18,"0","0","18","12","2014","2014-12"
"349",2014-12-19,"0","0","19","12","2014","2014-12"
"350",2014-12-20,"0","0","20","12","2014","2014-12"
"351",2014-12-21,"0","0","21","12","2014","2014-12"
"352",2014-12-22,"1","1","22","12","2014","2014-12"
"353",2014-12-23,"0","0","23","12","2014","2014-12"
"354",2014-12-24,"0","0","24","12","2014","2014-12"
"355",2014-12-25,"0","0","25","12","2014","2014-12"
"356",2014-12-26,"0","0","26","12","2014","2014-12"
"357",2014-12-27,"0","0","27","12","2014","2014-12"
"358",2014-12-28,"1","1","28","12","2014","2014-12"
"359",2014-12-29,"0","0","29","12","2014","2014-12"
"360",2014-12-30,"0","0","30","12","2014","2014-12"
"361",2014-12-31,"0","0","31","12","2014","2014-12"
"362",2015-01-01,"0","0","01","01","2015","2015-01"
"363",2015-01-02,"5","1","02","01","2015","2015-01"
"364",2015-01-03,"0","0","03","01","2015","2015-01"
"365",2015-01-04,"0","0","04","01","2015","2015-01"
"366",2015-01-05,"0","0","05","01","2015","2015-01"
"367",2015-01-06,"0","0","06","01","2015","2015-01"
"368",2015-01-07,"0","0","07","01","2015","2015-01"
"369",2015-01-08,"0","0","08","01","2015","2015-01"
"370",2015-01-09,"0","0","09","01","2015","2015-01"
"371",2015-01-10,"0","0","10","01","2015","2015-01"
"372",2015-01-11,"0","0","11","01","2015","2015-01"
"373",2015-01-12,"0","0","12","01","2015","2015-01"
"374",2015-01-13,"0","0","13","01","2015","2015-01"
"375",2015-01-14,"0","0","14","01","2015","2015-01"
"376",2015-01-15,"3","2","15","01","2015","2015-01"
"377",2015-01-16,"4","2","16","01","2015","2015-01"
"378",2015-01-17,"0","0","17","01","2015","2015-01"
"379",2015-01-18,"0","0","18","01","2015","2015-01"
"380",2015-01-19,"0","0","19","01","2015","2015-01"
"381",2015-01-20,"0","0","20","01","2015","2015-01"
"382",2015-01-21,"0","0","21","01","2015","2015-01"
"383",2015-01-22,"0","0","22","01","2015","2015-01"
"384",2015-01-23,"0","0","23","01","2015","2015-01"
"385",2015-01-24,"0","0","24","01","2015","2015-01"
"386",2015-01-25,"0","0","25","01","2015","2015-01"
"387",2015-01-26,"0","0","26","01","2015","2015-01"
